brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,warranty,Touchscreen,msoffice,rating,Price
1,1,2,1,3,1,1,0,2,1,2,3,0,0,3,75990
1,1,2,1,3,1,1,0,2,1,2,0,0,0,3,77990
1,1,2,0,3,1,1,0,2,1,2,0,0,0,3,77990
0,1,2,0,0,5,1,0,1,1,0,0,0,0,3,179990
0,1,2,0,0,5,1,0,1,1,0,0,0,0,3,179990
1,1,2,0,3,1,1,0,2,1,2,3,0,0,3,82990
1,1,2,1,3,1,1,0,2,1,2,0,0,0,2,87990
1,1,2,1,3,1,1,0,2,1,2,3,0,0,3,84500
3,1,2,1,3,5,1,0,2,1,0,3,0,0,3,74190
5,1,2,1,3,1,1,0,2,1,0,0,0,0,2,64990
5,1,2,0,3,1,6,3,2,1,0,2,0,0,2,155411
5,1,2,0,3,1,6,3,2,1,0,2,0,0,2,125394
7,1,2,1,3,1,0,1,2,1,0,3,0,0,2,49990
7,1,2,1,3,1,0,1,2,1,0,0,0,0,2,46990
3,1,2,1,3,1,0,1,2,1,0,0,0,0,2,48990
7,1,2,5,3,1,0,1,2,1,1,0,0,0,3,59999
1,1,2,0,3,1,0,1,2,1,0,0,0,0,3,46990
6,1,2,0,3,1,0,1,2,1,2,1,0,0,3,52990
